n_components,mean_test_rmse,std_test_rmse
1,0.11279225926761265,0.0
2,0.1138685351506665,0.0
3,0.09249462852132562,0.0
4,0.09288592555266907,0.0
5,0.09151131468288543,0.0
6,0.08741446327087363,0.0
7,0.08806415231740308,0.0
8,0.08810531429322377,0.0
9,0.08899862737184269,0.0
10,0.08894744383311763,0.0
11,0.08771060774908461,0.0
12,0.08282888270856928,0.0
13,0.08311733270751506,0.0
14,0.08079591942848939,0.0
15,0.078369564390125,0.0
16,0.074242543307984,0.0
17,0.07244919428138331,0.0
18,0.07325924154245236,0.0
19,0.07122055952517128,0.0
20,0.07195426225500573,0.0
21,0.0754390210417521,0.0
22,0.08037643001312497,0.0
23,0.07938295089821198,0.0
24,0.0835505957009713,0.0
25,0.08815062626509909,0.0
26,0.08715553484470849,0.0
27,0.08854586950442073,0.0
28,0.0865434894699165,0.0
29,0.08461544323122329,0.0
30,0.085431215995895,0.0
31,0.08590405618407031,0.0
32,0.08580615843093987,0.0
33,0.08245433468015381,0.0
34,0.08344233403847266,0.0
35,0.08304526516578281,0.0
36,0.08164312757580626,0.0
37,0.0792289136528597,0.0
38,0.0805284715002187,0.0
39,0.08073930341163743,0.0
40,0.08285281455102829,0.0
41,0.0858989820123693,0.0
42,0.08614121596746342,0.0
43,0.0867094247106133,0.0
44,0.0879791759650376,0.0
45,0.08782464527110703,0.0
46,0.08704299360208666,0.0
47,0.08699909230698784,0.0
48,0.08759513347013374,0.0
49,0.08938012422934073,0.0
50,0.09032102478371422,0.0
