n_components,mean_test_rmse,std_test_rmse
1,0.10242821622379036,0.0
2,0.09617283688107452,0.0
3,0.0958247584956236,0.0
4,0.0957902566563401,0.0
5,0.09683022731092077,0.0
6,0.09862467096445508,0.0
7,0.09664525884270188,0.0
8,0.09694519654501134,0.0
9,0.09764108520106843,0.0
10,0.09820222410232975,0.0
11,0.0983423134545299,0.0
12,0.0975856461501689,0.0
13,0.0963902034100208,0.0
14,0.09514294978393326,0.0
15,0.09434687271015844,0.0
16,0.09477638940452558,0.0
17,0.09284859653826268,0.0
18,0.09138751874665262,0.0
19,0.09186204373383618,0.0
20,0.0905850174034803,0.0
21,0.09045711299551802,0.0
22,0.0906381008323559,0.0
23,0.09272253876368869,0.0
24,0.09205850527961848,0.0
25,0.09253764423490152,0.0
26,0.09204989703155655,0.0
27,0.09220450005486973,0.0
28,0.09261825407652692,0.0
29,0.09247261089658598,0.0
30,0.091724909843661,0.0
31,0.09206000840794698,0.0
32,0.09222872578429595,0.0
33,0.09290061605431084,0.0
34,0.09326703157634066,0.0
35,0.09187692727575567,0.0
36,0.09144063918714482,0.0
37,0.09258390634584979,0.0
38,0.09281586880357814,0.0
39,0.09301675697316272,0.0
40,0.09371798590086766,0.0
41,0.09331028163677199,0.0
42,0.09288450390241346,0.0
43,0.09297956558600325,0.0
44,0.09201018621271198,0.0
45,0.09190616596458874,0.0
46,0.09197819850590182,0.0
47,0.09183763707538181,0.0
48,0.09210120270578515,0.0
49,0.09213005907927235,0.0
50,0.09220321892099737,0.0
